Date, Time, Latitude, Longitude, GPS Fix, Force, Water Level, Accel Calibration, Gyro Calibration, Magne Calibration, Sys Calibration, Quat W, Quat X, Quat Y, Quat Z, Euler X, Euler Y, Euler Z, Pressure (Pa), Altitude (m), Internal Temperature (C)
4/27/2021, 00:05:20, 21.65227, -158.06284, 1, 648, 0, 3, 3, 3, 3, 0.86, 0.04, -0.20, 0.47, 302.13, 22.25, 7.19, 101528.75, -14.50, 38.56
4/27/2021, 00:05:21, 21.65227, -158.06284, 1, 210, 0, 3, 3, 3, 3, 0.88, -0.09, -0.29, 0.36, 315.13, 26.44, 23.94, 101492.75, -13.56, 38.56
4/27/2021, 00:05:22, 21.65227, -158.06284, 1, 190, 0, 3, 3, 3, 3, 0.88, -0.12, -0.24, 0.39, 311.63, 19.63, 25.00, 101484.50, -17.31, 38.50
4/27/2021, 00:05:23, 21.65227, -158.06284, 1, 187, 0, 3, 3, 3, 3, 0.89, 0.03, -0.26, 0.38, 313.00, 28.25, 9.75, 101694.50, -15.06, 38.50
4/27/2021, 00:05:24, 21.65227, -158.06284, 1, 187, 0, 3, 3, 3, 3, 0.89, 0.04, -0.27, 0.36, 315.50, 30.44, 7.69, 101680.50, -31.69, 38.50
4/27/2021, 00:05:25, 21.65227, -158.06284, 1, 186, 0, 3, 3, 3, 3, 0.87, 0.20, -0.25, 0.37, 314.00, 35.38, -11.38, 101377.00, -24.44, 38.56
4/27/2021, 00:05:26, 21.65227, -158.06284, 1, 186, 0, 3, 3, 3, 3, 0.85, -0.16, -0.34, 0.38, 312.19, 27.06, 35.69, 101552.75, -15.50, 38.63
4/27/2021, 00:05:27, 21.65233, -158.06282, 1, 186, 0, 3, 3, 3, 3, 0.88, 0.04, -0.19, 0.44, 306.25, 21.69, 5.94, 101514.50, -17.19, 38.56
4/27/2021, 00:05:28, 21.65232, -158.06284, 1, 186, 0, 3, 3, 3, 3, 0.84, 0.05, -0.32, 0.43, 305.38, 35.13, 13.31, 101552.50, -16.31, 38.56
4/27/2021, 00:05:29, 21.65222, -158.06253, 1, 185, 0, 3, 3, 3, 3, 0.86, -0.07, -0.23, 0.46, 303.94, 19.88, 20.19, 101511.25, -14.63, 38.50
4/27/2021, 00:05:31, 21.65222, -158.06253, 1, 185, 0, 3, 3, 3, 3, 0.87, -0.07, -0.20, 0.45, 305.06, 16.75, 18.00, 101524.00, -16.25, 38.56
